transaction_id,customer_id,customer_name,email,card_number,merchant,merchant_category,amount,currency,transaction_type,status,country,device,timestamp,is_fraud
fec19cab78444b9c81b3fa35b2ca13b8,9ddbbedb,Brittany Bailey,michelle19@example.com,3556501268857470,"Oconnell, Williams and Marquez",Healthcare,2123.02,GBP,Purchase,Success,Bahrain,Web,2023-06-22 17:29:09,0
82627e089eec43339b116d8ca7275120,49eddd45,Rachel Bridges,johnsontyler@example.com,4469833551248,"Davis, Little and Rodriguez",Entertainment,198.16,USD,Withdrawal,Success,El Salvador,ATM,2023-02-13 11:12:49,0
77845ee7a98f495db4358e5ca70c57fd,23099244,Becky Gonzalez,simscarol@example.com,4167700194582868,Davis PLC,Entertainment,2274.09,USD,Transfer,Pending,Turks and Caicos Islands,Mobile,2023-06-09 05:48:51,0
4c64b7df660d4a06a319f00aed515a5e,eb5d4c73,Matthew Gomez,shawn64@example.net,4654410285944,Garcia-Hall,Retail,2314.04,USD,Withdrawal,Success,Korea,ATM,2023-11-10 21:37:39,0
d48372ead96c4923beb76050dcdb228e,5e46cfd7,Denise Scott,livingstongregory@example.com,30439110763665,"Hayes, Richard and Mathis",Retail,2081.02,USD,Transfer,Success,Nigeria,POS,2023-08-03 22:49:54,0
6a6d107bb22a42f088e3a1198be32bb6,10da546c,Leslie Pham MD,darrell26@example.org,30017423469954,Gamble Ltd,Electronics,4287.47,USD,Withdrawal,Success,Greenland,Mobile,2023-04-27 18:32:24,0
4edb70f0b96d4742a7dcce19c89e54c4,227445b7,Robert Brown,claire19@example.org,4689561189677,Ellis LLC,Food,3678.09,CAD,Purchase,Pending,Hong Kong,POS,2023-04-20 10:12:31,0
d4c4481e487547c7b2572264ff51c1b2,96e37d65,Richard Brown,davidcurry@example.net,4279917511723752014,Williams Group,Entertainment,4823.74,USD,Payment,Pending,Peru,Web,2023-04-11 09:41:28,0
b6f58b5a7f6344918703ab6d1b8b1da0,dc29290e,Randy Castillo,hamiltonkendra@example.com,2264389682646389,"Brooks, Johnson and Obrien",Food,3378.05,CAD,Purchase,Pending,Gambia,ATM,2023-07-18 19:23:19,0
59998bea701e48208affc6c57b230082,8e8e6b58,Nancy Romero,qharris@example.org,375387818550848,Warren Ltd,Entertainment,3867.95,GBP,Purchase,Failed,Pakistan,Web,2023-03-29 03:13:28,0
6297ca4b309c4bc9a43b311f4d4f9fbf,4715837a,Ashley Brown,nancy53@example.net,6011604815007532,Richard PLC,Healthcare,3084.94,CAD,Purchase,Failed,Congo,ATM,2023-08-22 15:07:40,0
61a7dc93a330436d861952db9de55f13,8193edd9,Robert Rose,gblackwell@example.org,2259522153091613,"Miller, Lane and Smith",Electronics,3353.6,GBP,Purchase,Pending,British Virgin Islands,ATM,2023-09-22 15:54:40,0
7112e34820fc412b87c4b54709a52af2,edffbea3,Michael Lucas,raymondneal@example.com,340573493000363,"Harper, Brown and Archer",Electronics,311.09,CAD,Payment,Success,Sri Lanka,Mobile,2023-05-11 23:25:25,0
00556da46fca453ab4d477611824d9a2,81261108,Bryan Schwartz,raymondbrown@example.com,4681140582197119,Pearson PLC,Electronics,377.16,EUR,Payment,Pending,Cuba,ATM,2023-02-19 18:42:21,0
91645b523fd34f61812d71f9d4ea67fd,894a545f,Raymond Glenn,jonathanrush@example.net,6582133133229189,Robinson-Mitchell,Food,1135.11,EUR,Payment,Success,Gabon,ATM,2023-04-27 09:44:09,0
